;Validation MSE;Validation MAPE;Test MSE;Test MAPE
Naive;565751620.7152318;3.827970207775636e+18;575737633.9668875;0.481070697098308
LSTM;247288233.36718214;2.6198988302166743e+18;315673714.01906264;0.4004580143288838
