;Validation MSE;Validation MAPE;Test MSE;Test MAPE
Naive;565751620.7152318;3.827970207775636e+18;575737633.9668875;0.481070697098308
LSTM;204723753.53280023;2.8485677073105715e+18;331752363.1744374;0.3937854132052337
