;Validation MSE;Validation MAPE;Test MSE;Test MAPE
Naive;0.01248553697984381;0.15320129368937518;0.014476932429273635;0.2133398806218523
LSTM;0.01677248811257293;0.18668344973086837;0.01799760145529149;0.3405649425581785
