Modelo,Validation MSE,Validation MAPE,Test MSE,Test MAPE
Naive Forecast,1290.6857142857143,0.0898720645390058,2601.885714285714,0.10080826084871936
ARIMA,3392.213774796291,0.11312168291315988,22673.320965246185,0.29547541745872496
SARIMA,2130.396601179935,0.11130871506616355,21704.083648509204,0.32169074961563954
SVR,567.6215494479912,0.051639016308594035,479.5784156712263,0.039937594042699844
CNN,438.465005534106,0.044139917595179844,358.79811661387794,0.03715968698804362
LSTM,432.7743480123269,0.043364338550331095,328.96110315496725,0.030761641351629065
