;Validation MSE;Validation MAPE;Test MSE;Test MAPE
Naive;10747.823529411764;0.22833595464452272;154954.778280543;0.2203726782636214
LSTM;9365.489239705325;0.23178219374069137;157238.61173599234;0.20164137968337914
