;Validation MSE;Validation MAPE;Test MSE;Test MAPE
Naive;10747.823529411764;0.22833595464452272;154954.778280543;0.2203726782636214
LSTM;11895.275756533938;0.36720990721803815;174083.09362592807;0.22279761833824324
