;Validation MSE;Validation MAPE;Test MSE;Test MAPE
Naive;0.01248553697984381;0.15320129368937518;0.014476932429273635;0.2133398806218523
LSTM;0.014030186894324075;0.17056158524501566;0.017399538773313825;0.34140746991916265
